Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
H. Ren	2021	CONF	2021 IEEE 3rd International Conference on Computer Science and Educational Informatization (CSEI)	No encontrado	No encontrado	No encontrado	0
M. Spezialetti	2010	CONF	2010 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
X. Li	2024	CONF	2024 6th International Conference on Computer Science and Technologies in Education (CSTE)	No encontrado	No encontrado	No encontrado	0
X. Dong	2020	CONF	2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE)	No encontrado	No encontrado	No encontrado	0
S. Rijo-García	2022	JOUR	IEEE Transactions on Education	No encontrado	No encontrado	No encontrado	0
Z. Chang	2018	CONF	2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC)	No encontrado	No encontrado	No encontrado	0
S. Chookaew	2018	CONF	2018 7th International Congress on Advanced Applied Informatics (IIAI-AAI)	No encontrado	No encontrado	No encontrado	0
R. Vinayakumar	2018	CONF	2018 9th International Conference on Computing, Communication and Networking Technologies (ICCCNT)	No encontrado	No encontrado	No encontrado	0
K. Adam	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
F. Parsa	2024	CONF	SoutheastCon 2024	No encontrado	No encontrado	No encontrado	0
H. Ehsan	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
A. Espinal	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
Ying Li	2016	CONF	2016 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
Shuiyan He	2014	CONF	2014 9th International Conference on Computer Science & Education	No encontrado	No encontrado	No encontrado	0
X. Yi	2022	CONF	2022 4th International Conference on Computer Science and Technologies in Education (CSTE)	No encontrado	No encontrado	No encontrado	0
J. Moreno-León	2016	CONF	2016 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
X. Wang	2023	CONF	2023 13th International Conference on Information Technology in Medicine and Education (ITME)	No encontrado	No encontrado	No encontrado	0
P. Larsson	2019	CONF	2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)	No encontrado	No encontrado	No encontrado	0
C. -C. Lin	2018	CONF	2018 1st International Cognitive Cities Conference (IC3)	No encontrado	No encontrado	No encontrado	0
P. Gao	2019	CONF	2019 14th International Conference on Computer Science & Education (ICCSE)	No encontrado	No encontrado	No encontrado	0
J. Hanč	2020	CONF	2020 18th International Conference on Emerging eLearning Technologies and Applications (ICETA)	No encontrado	No encontrado	No encontrado	0
H. -L. Jeng	2019	CONF	2019 8th International Congress on Advanced Applied Informatics (IIAI-AAI)	No encontrado	No encontrado	No encontrado	0
T. -C. Hsu	2020	CONF	2020 IEEE 20th International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
H. W. Fennell	2019	CONF	2019 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
Z. Qu	2023	CONF	2023 IEEE 12th International Conference on Educational and Information Technology (ICEIT)	No encontrado	No encontrado	No encontrado	0
L. Ribeiro Silva	2018	CONF	2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
T. Phetsrikran	2018	CONF	2018 22nd International Computer Science and Engineering Conference (ICSEC)	No encontrado	No encontrado	No encontrado	0
S. Sonsilphong	2022	CONF	2022 7th International STEM Education Conference (iSTEM-Ed)	No encontrado	No encontrado	No encontrado	0
A. M. Laime-Choque	2022	CONF	2022 XII International Conference on Virtual Campus (JICV)	No encontrado	No encontrado	No encontrado	0
R. D. Handayani	2023	CONF	2023 9th International Conference on Education and Technology (ICET)	No encontrado	No encontrado	No encontrado	0
P. Anitha	2018	CONF	2018 IEEE Tenth International Conference on Technology for Education (T4E)	No encontrado	No encontrado	No encontrado	0
N. Chuumchuen	2022	CONF	2022 7th International STEM Education Conference (iSTEM-Ed)	No encontrado	No encontrado	No encontrado	0
A. Mohan	2015	CONF	2015 IEEE International Conference on Services Computing	No encontrado	No encontrado	No encontrado	0
Y. A. C. González	2017	CONF	2017 International Symposium on Computers in Education (SIIE)	No encontrado	No encontrado	No encontrado	0
S. Pacheco-Portuguez	2022	CONF	2022 International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
T. -K. Chen	2019	CONF	2019 IEEE International Conference on Engineering, Technology and Education (TALE)	No encontrado	No encontrado	No encontrado	0
L. Alvarado	2022	CONF	2022 IEEE World Engineering Education Conference (EDUNINE)	No encontrado	No encontrado	No encontrado	0
P. Gou	2021	CONF	2021 16th International Conference on Computer Science & Education (ICCSE)	No encontrado	No encontrado	No encontrado	0
Y. Wei	2014	CONF	2014 IEEE International Conference on Signal Processing, Communications and Computing (ICSPCC)	No encontrado	No encontrado	No encontrado	0
J. Si	2021	CONF	2021 16th International Conference on Computer Science & Education (ICCSE)	No encontrado	No encontrado	No encontrado	0
L. -j. Yin	2011	CONF	2011 International Conference on Consumer Electronics, Communications and Networks (CECNet)	No encontrado	No encontrado	No encontrado	0
I. Yuliana	2019	CONF	2019 19th International Symposium on Communications and Information Technologies (ISCIT)	No encontrado	No encontrado	No encontrado	0
O. Adeyemi	2023	CONF	2023 IEEE International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
V. A. Narayanan	2018	CONF	2018 IEEE 18th International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
M. Pedaste	2019	CONF	2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
R. P. Curasma	2020	CONF	2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)	No encontrado	No encontrado	No encontrado	0
J. Ma	2022	CONF	2022 International Symposium on Educational Technology (ISET)	No encontrado	No encontrado	No encontrado	0
H. Castellanos	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
M. Zapata-Cáceres	2020	CONF	2020 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
M. J. Rico Lugo	2018	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	No encontrado	No encontrado	No encontrado	0
R. F. Z. Muñoz	2023	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	No encontrado	No encontrado	No encontrado	0
A. F. Farias	2023	CONF	2023 32nd Annual Conference of the European Association for Education in Electrical and Information Engineering (EAEEIE)	No encontrado	No encontrado	No encontrado	0
A. J. Magana	2012	JOUR	Computing in Science & Engineering	No encontrado	No encontrado	No encontrado	0
J. F. Roscoe	2014	CONF	2014 International Conference on Interactive Technologies and Games	No encontrado	No encontrado	No encontrado	0
M. S. Mirza	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
J. Moreno-León	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
H. Gao	2024	CONF	2024 International Symposium on Educational Technology (ISET)	No encontrado	No encontrado	No encontrado	0
F. Talavera-Mendoza	2023	CONF	2023 XIII International Conference on Virtual Campus (JICV)	No encontrado	No encontrado	No encontrado	0
A. Gerosa	2019	CONF	2019 XIV Latin American Conference on Learning Technologies (LACLO)	No encontrado	No encontrado	No encontrado	0
Y. Sasaki	2019	CONF	2019 IEEE 8th Global Conference on Consumer Electronics (GCCE)	No encontrado	No encontrado	No encontrado	0
Y. Li	2015	CONF	2015 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
N. R. Ramadhani	2020	CONF	2020 7th International Conference on Advance Informatics: Concepts, Theory and Applications (ICAICTA)	No encontrado	No encontrado	No encontrado	0
W. Xiduo	2020	CONF	2020 15th International Conference on Computer Science & Education (ICCSE)	No encontrado	No encontrado	No encontrado	0
L. Ribeiro	2013	CONF	2013 2nd Workshop-School on Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
M. Johnson	2022	CONF	2022 Intermountain Engineering, Technology and Computing (IETC)	No encontrado	No encontrado	No encontrado	0
A. J. Magana	2011	CONF	2011 Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
V. Chaudhary	2016	CONF	2016 IEEE Eighth International Conference on Technology for Education (T4E)	No encontrado	No encontrado	No encontrado	0
E. Relkin	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
M. Elshahawy	2020	CONF	2020 24th International Conference Information Visualisation (IV)	No encontrado	No encontrado	No encontrado	0
D. Yang	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
T. C. Dutra	2021	CONF	2021 International Conference on Advanced Learning Technologies (ICALT)	No encontrado	No encontrado	No encontrado	0
G. Yang	2023	CONF	2023 IEEE Integrated STEM Education Conference (ISEC)	No encontrado	No encontrado	No encontrado	0
H. Tanioka	2021	CONF	2021 10th International Congress on Advanced Applied Informatics (IIAI-AAI)	No encontrado	No encontrado	No encontrado	0
C. Xu	2020	CONF	2020 International Wireless Communications and Mobile Computing (IWCMC)	No encontrado	No encontrado	No encontrado	0
Y. Xu	2022	CONF	2022 European Conference on Communication Systems (ECCS)	No encontrado	No encontrado	No encontrado	0
S. Zhao	2010	CONF	2010 International Conference on Computational Intelligence and Software Engineering	No encontrado	No encontrado	No encontrado	0
S. Psycharis	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
J. Liao	2024	JOUR	IEEE Transactions on Learning Technologies	No encontrado	No encontrado	No encontrado	0
D. Pale-Parra	2023	CONF	2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT)	No encontrado	No encontrado	No encontrado	0
B. Sabitzer	2018	CONF	2018 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
E. M. Slomp	2021	CONF	2021 IEEE World Conference on Engineering Education (EDUNINE)	No encontrado	No encontrado	No encontrado	0
J. Pietros	2022	CONF	2022 International Conference on Computational Science and Computational Intelligence (CSCI)	No encontrado	No encontrado	No encontrado	0
M. Dumančić	2024	CONF	2024 47th MIPRO ICT and Electronics Convention (MIPRO)	No encontrado	No encontrado	No encontrado	0
K. T. Fernandes	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
A. H. Abdullah	2019	CONF	2019 IEEE International Conference on Engineering, Technology and Education (TALE)	No encontrado	No encontrado	No encontrado	0
K. Tengler	2021	CONF	2021 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
K. Yevseyeva	2012	CONF	2012 Frontiers in Education Conference Proceedings	No encontrado	No encontrado	No encontrado	0
C. K. Shyamala	2017	CONF	2017 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
Â. M. d. Jesus	2019	CONF	2019 International Conference on Virtual Reality and Visualization (ICVRV)	No encontrado	No encontrado	No encontrado	0
M. Zhao	2020	CONF	2020 Ninth International Conference of Educational Innovation through Technology (EITT)	No encontrado	No encontrado	No encontrado	0
V. A. Narayanan	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	No encontrado	No encontrado	No encontrado	0
R. Munoz	2016	CONF	2016 11th Iberian Conference on Information Systems and Technologies (CISTI)	No encontrado	No encontrado	No encontrado	0
P. Ko	2013	CONF	2013 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
A. De Oliveira Costa Junior	2022	CONF	2022 Latin American Robotics Symposium (LARS), 2022 Brazilian Symposium on Robotics (SBR), and 2022 Workshop on Robotics in Education (WRE)	No encontrado	No encontrado	No encontrado	0
P. Padmanabhan	2017	CONF	2017 IEEE Integrated STEM Education Conference (ISEC)	No encontrado	No encontrado	No encontrado	0
A. A. Souza	2017	CONF	2017 XLIII Latin American Computer Conference (CLEI)	No encontrado	No encontrado	No encontrado	0
M. M. Rahman	2020	CONF	2020 IEEE Frontiers in Education Conference (FIE)	No encontrado	No encontrado	No encontrado	0
M. Coenraad	2020	CONF	2020 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	No encontrado	No encontrado	No encontrado	0
F. Moreno-Vera	2019	CONF	2019 IEEE World Conference on Engineering Education (EDUNINE)	No encontrado	No encontrado	No encontrado	0
T. . -J. Lin	2022	CONF	2022 IEEE International Conference on Teaching, Assessment and Learning for Engineering (TALE)	No encontrado	No encontrado	No encontrado	0
D. Yang	2022	CONF	2022 IEEE Integrated STEM Education Conference (ISEC)	No encontrado	No encontrado	No encontrado	0
C. Boya-Lara	2022	CONF	2022 IEEE 40th Central America and Panama Convention (CONCAPAN)	No encontrado	No encontrado	No encontrado	0
